image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
000577.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000577.jpg,128,95,149,139,0,0.9704350233078003,320,240
000577.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000577.jpg,164,87,207,168,0,0.9865142107009888,320,240
000578.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000578.jpg,128,95,149,139,0,0.9694780707359314,320,240
000578.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000578.jpg,165,87,207,169,0,0.9892764091491699,320,240
000579.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000579.jpg,127,96,149,139,0,0.9729827046394348,320,240
000579.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000579.jpg,166,88,207,169,0,0.9959458708763123,320,240
000580.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000580.jpg,127,96,149,138,0,0.9682367444038391,320,240
000580.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000580.jpg,166,88,207,169,0,0.994638979434967,320,240
000581.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000581.jpg,127,96,149,138,0,0.9714548587799072,320,240
000581.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000581.jpg,166,89,208,169,0,0.9957179427146912,320,240
000582.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000582.jpg,127,96,149,138,0,0.9713119864463806,320,240
000582.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000582.jpg,166,89,209,169,0,0.9959041476249695,320,240
000583.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000583.jpg,126,96,148,137,0,0.9669983386993408,320,240
000583.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000583.jpg,166,88,210,170,0,0.9959408044815063,320,240
000584.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000584.jpg,126,96,148,138,0,0.9689189791679382,320,240
000584.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000584.jpg,166,89,210,169,0,0.995207667350769,320,240
000585.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000585.jpg,126,97,148,136,0,0.9522566795349121,320,240
000585.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000585.jpg,165,85,212,173,0,0.9961376190185547,320,240
000586.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000586.jpg,127,96,148,137,0,0.9529505968093872,320,240
000586.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000586.jpg,165,86,212,172,0,0.9951763153076172,320,240
000587.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000587.jpg,126,97,148,137,0,0.9444626569747925,320,240
000587.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000587.jpg,166,83,211,174,0,0.9970393776893616,320,240
