image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
000138.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000138.jpg,306,88,318,161,0,0.42943158745765686,320,240
000139.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000139.jpg,305,88,318,161,0,0.42882996797561646,320,240
000140.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000140.jpg,304,83,318,151,0,0.39207398891448975,320,240
000141.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000141.jpg,305,90,318,155,0,0.33538055419921875,320,240
000142.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000142.jpg,302,83,319,152,0,0.6809921860694885,320,240
000143.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000143.jpg,302,85,319,151,0,0.6993894577026367,320,240
000144.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000144.jpg,299,83,320,151,0,0.8234222531318665,320,240
000145.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000145.jpg,299,82,319,152,0,0.7478570342063904,320,240
000146.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000146.jpg,299,90,318,151,0,0.692200779914856,320,240
000147.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000147.jpg,298,89,319,152,0,0.7893375158309937,320,240
000148.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000148.jpg,0,106,11,128,0,0.3271864056587219,320,240
000148.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000148.jpg,297,90,319,152,0,0.868148922920227,320,240
000149.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000149.jpg,0,106,10,128,0,0.3031129539012909,320,240
000149.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000149.jpg,298,89,318,153,0,0.7639251351356506,320,240
000150.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000150.jpg,296,68,317,157,0,0.6660251021385193,320,240
000151.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000151.jpg,298,89,318,152,0,0.7818398475646973,320,240
000152.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000152.jpg,298,80,319,152,0,0.8768430948257446,320,240
000153.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000153.jpg,298,81,319,152,0,0.8472753763198853,320,240
000154.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000154.jpg,298,83,319,150,0,0.9383556842803955,320,240
000155.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000155.jpg,298,81,319,152,0,0.9505144357681274,320,240
000156.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO-master\Data\Source_Images\Test_Images\000156.jpg,0,100,21,148,0,0.4685385227203369,320,240
