image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
000149.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000149.jpg,305,54,318,154,0,0.30832183361053467,320,240
000150.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000150.jpg,305,58,319,151,0,0.41122397780418396,320,240
000151.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000151.jpg,301,72,319,154,0,0.6671252846717834,320,240
000152.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000152.jpg,300,72,319,153,0,0.6903929710388184,320,240
000153.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000153.jpg,299,75,320,154,0,0.7822968363761902,320,240
000154.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000154.jpg,299,76,320,154,0,0.778317391872406,320,240
000155.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000155.jpg,300,88,319,155,0,0.7366904020309448,320,240
000156.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000156.jpg,299,77,320,155,0,0.7160319685935974,320,240
000157.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000157.jpg,292,53,320,152,0,0.3078838884830475,320,240
000157.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000157.jpg,301,88,318,155,0,0.5885447263717651,320,240
000158.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000158.jpg,291,53,320,153,0,0.3205934464931488,320,240
000158.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000158.jpg,300,89,319,154,0,0.7538554668426514,320,240
000159.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000159.jpg,301,91,319,152,0,0.8946195840835571,320,240
000160.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000160.jpg,301,90,319,152,0,0.870823323726654,320,240
000161.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000161.jpg,301,90,318,153,0,0.8646756410598755,320,240
000162.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000162.jpg,301,90,318,152,0,0.8424739241600037,320,240
000163.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000163.jpg,300,76,320,155,0,0.6350069046020508,320,240
000164.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000164.jpg,300,78,320,155,0,0.6545544266700745,320,240
000165.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000165.jpg,300,80,319,153,0,0.7513087391853333,320,240
000166.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000166.jpg,300,81,319,153,0,0.6513698101043701,320,240
000167.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000167.jpg,300,79,319,154,0,0.8422211408615112,320,240
000168.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000168.jpg,299,78,320,152,0,0.8699269890785217,320,240
000169.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000169.jpg,299,83,319,150,0,0.9310802221298218,320,240
000170.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000170.jpg,299,85,319,148,0,0.9413653612136841,320,240
000171.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000171.jpg,299,87,318,147,0,0.9131962060928345,320,240
000172.jpg,C:\Users\sreekanth.tammana\Desktop\TrainYourOwnYOLO\Data\Source_Images\Test_Images\000172.jpg,299,84,318,148,0,0.905646800994873,320,240
